coordinate_x,coordinate_y,cell_type,probability,area,convex_area,eccentricity,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,pa_ratio
450.26216216216216,494.6081081081081,Tumor,0.9986041188240051,370,381,0.7985567005720325,0.6702898550724637,370,28.112639243362125,16.921548360643317,0.7904866131058285,73.01219330881976,0.9711286089238845,14.407514518282337
449.77687861271676,570.8254335260116,Tumor,0.9983755350112915,865,882,0.3759875091227154,0.7709447415329769,865,34.538839919656645,32.00454326605794,-1.3082335804132863,107.74011537017762,0.9807256235827665,13.41957509824183
512.9236276849642,1010.5369928400954,Tumor,0.9974532723426819,838,853,0.5838407253922415,0.8551020408163266,838,36.63202700754325,29.740378578018547,0.23484577852752173,108.5269119345812,0.9824150058616647,14.055000732764132
106.46963562753037,618.0991902834008,Tumor,0.9971204996109009,494,512,0.6187907935080297,0.7954911433172303,494,28.444866538010356,22.345030594456762,0.3031101085494944,82.52691193458118,0.96484375,13.786824278255299
262.1237263464338,35.956331877729255,Tumor,0.9968419075012207,687,704,0.703493541268592,0.7667410714285714,687,35.16087486371673,24.98889183255557,0.6173195854597119,97.84062043356595,0.9758522727272727,13.93418778286044
390.1751497005988,500.2979041916168,Tumor,0.996691107749939,668,691,0.745572073534463,0.734065934065934,668,35.817010583735815,23.8693513465363,0.3607201859782212,99.49747468305834,0.9667149059334298,14.819981239978796
694.7751091703057,537.9366812227074,Tumor,0.9964287877082825,458,466,0.7275469595579013,0.7789115646258503,458,29.163569191258617,20.00789659983818,0.3510696164453227,78.76955262170047,0.9828326180257511,13.547254192626287
50.38193018480493,602.2792607802875,Tumor,0.9961636066436768,487,504,0.8509811213546841,0.6707988980716253,487,34.539489580206265,18.140011393669766,0.43770713052921567,87.84062043356595,0.9662698412698413,15.843890345285018
450.2864077669903,421.57766990291265,Tumor,0.9961318969726562,618,634,0.6925248362870196,0.7427884615384616,618,33.04400408087126,23.83774737672674,0.38568887002575764,92.08326112068524,0.9747634069400631,13.720593816537706
195.84615384615384,922.8861538461539,Tumor,0.9960760474205017,325,332,0.7581226043636684,0.7222222222222222,325,25.354715144184514,16.534115094830316,1.1769240357807427,67.35533905932738,0.9789156626506024,13.959205230144468
298.420814479638,36.8316742081448,Tumor,0.9958657026290894,1105,1123,0.3932932955100734,0.7859174964438123,1105,39.22950034257424,36.06811514015263,-0.9296469131236995,122.56854249492379,0.9839715048975958,13.595518198488632
555.4045643153527,597.9087136929461,Tumor,0.9958109855651855,482,496,0.5195222300190271,0.7438271604938271,482,26.89220531835709,22.978231311987894,-0.28788242714932566,80.42640687119284,0.9717741935483871,13.419931373881026
500.23374613003097,464.1130030959752,Tumor,0.9956420660018921,646,660,0.6939539582214038,0.7250280583613917,646,33.88854193418878,24.40040686532765,-0.5180948708456791,94.32590180780451,0.9787878787878788,13.7730274796526
520.1328790459966,419.809199318569,Tumor,0.995211660861969,587,596,0.6172003440470135,0.7826666666666666,587,31.01885011237457,24.40581843949785,-0.39298198448433797,90.18376618407355,0.9848993288590604,13.855386172306044
530.3576732673267,496.0754950495049,Tumor,0.9951061010360718,808,821,0.6785062519805112,0.744700460829493,808,37.49250400555588,27.54179199541274,-0.9875994575414255,105.15432893255071,0.9841656516443362,13.684941699573109
326.1734820322181,102.90210656753408,Tumor,0.9950979351997375,807,824,0.5795272881635845,0.7729885057471264,807,35.57665320619701,28.99329436835773,0.13683457779786645,105.49747468305833,0.9793689320388349,13.791471083646263
690.2842565597667,903.66472303207,Tumor,0.994778037071228,686,704,0.7761206532446898,0.7622222222222222,686,37.34454454652321,23.548888580729045,-0.3097469435018926,99.84062043356595,0.9744318181818182,14.530830158249833
255.12745098039215,86.41568627450981,Tumor,0.9944367408752441,510,518,0.6434456219434834,0.7544378698224852,510,29.15968015510719,22.32149672997023,0.8113945588604244,81.84062043356595,0.9845559845559846,13.133112064609827
218.8520325203252,512.6032520325203,Tumor,0.9943959712982178,615,630,0.7913157164296812,0.7391826923076923,615,35.865587917851755,21.928498416305736,1.053097710098563,95.01219330881976,0.9761904761904762,14.678564028215503
363.32683658170913,526.7931034482758,Tumor,0.994337260723114,667,684,0.5009625299920427,0.7666666666666667,667,31.404571684058148,27.17968240868158,1.004209202822377,94.66904755831214,0.9751461988304093,13.436624536128885
420.93617021276594,513.3723404255319,Tumor,0.9943258166313171,658,678,0.6634097241861656,0.734375,658,33.5962623847429,25.138616049179277,0.552497745282852,97.49747468305833,0.9705014749262537,14.446440075339817
142.22392638036808,603.6855828220858,Tumor,0.993975818157196,652,666,0.8022067737421172,0.7799043062200957,652,37.57664919522772,22.434999614449737,-0.05645224586174834,98.42640687119285,0.978978978978979,14.85852387971411
362.60487288135596,35.93326271186441,Tumor,0.9938774704933167,944,971,0.7126449640200475,0.8346595932802829,944,41.8510884546808,29.359579746317912,1.432282305067987,118.18376618407358,0.972193614830072,14.795977319334504
742.7223529411765,501.97058823529414,Tumor,0.9936643838882446,850,871,0.8855730579133748,0.769927536231884,850,48.528297778426726,22.541400017042996,0.13732477020912992,118.66904755831214,0.9758897818599311,16.567462174584644
287.5902192242833,609.7048903878583,Tumor,0.9936016201972961,593,612,0.7599194049228448,0.7357320099255583,593,34.21295805288019,22.23901482177704,1.04498071340229,93.59797974644665,0.9689542483660131,14.773325147750823
232.044776119403,617.9722814498934,Tumor,0.9933888912200928,469,484,0.7180973484403014,0.6937869822485208,469,29.463541243501563,20.50493552332302,-0.7696422343716156,80.66904755831213,0.96900826446281,13.875256362399199
1013.6491862567811,713.6509945750452,Tumor,0.9933634996414185,553,558,0.6484617302414559,0.8290854572713643,553,30.985599218517944,23.587702373382072,1.423128631277234,89.45584412271572,0.9910394265232975,14.470792129670183
416.67486818980666,457.5834797891037,Tumor,0.9933517575263977,569,585,0.8307386279578108,0.6540229885057471,569,36.38034318626638,20.251579099300507,0.8316334715629095,93.49747468305833,0.9726495726495726,15.363405574884242
442.30386740331494,454.707182320442,Tumor,0.9931405186653137,362,371,0.6562849642359065,0.7479338842975206,362,24.836556491545082,18.73950768678141,0.8737260616273049,70.52691193458118,0.9757412398921833,13.740456649249086
591.8345588235294,499.3915441176471,Tumor,0.992834210395813,544,560,0.808524607989738,0.7727272727272727,544,34.35101312493109,20.214278518607497,-0.3470843310497955,90.18376618407356,0.9714285714285714,14.950572946955239
213.22222222222223,633.1689814814815,Tumor,0.9927158951759338,432,444,0.6538849638087542,0.8307692307692308,432,27.040579849368463,20.45873999286855,0.029898109079680678,76.2842712474619,0.972972972972973,13.470578795732274
42.598,576.572,Tumor,0.9924466609954834,500,509,0.6378371802123298,0.7496251874062968,500,28.797838628349357,22.179266947659784,0.2516863538824989,81.84062043356595,0.9823182711198428,13.395774305902023
319.43288590604027,563.256711409396,Tumor,0.992399275302887,596,609,0.7319295381190669,0.7611749680715197,596,33.609709611251695,22.900994955037753,0.6013727017415293,92.76955262170047,0.9786535303776683,14.439915928910157
